Date,SPY_Close
2021-01-04,342.4368896484375
2021-01-05,344.79541015625
2021-01-06,346.8567810058594
2021-01-07,352.01025390625
2021-01-08,354.015869140625
2021-01-11,351.6294860839844
2021-01-12,351.70367431640625
2021-01-13,352.65087890625
2021-01-14,351.4159240722656
2021-01-15,348.8531799316406
2021-01-19,351.59234619140625
2021-01-20,356.4579162597656
2021-01-21,356.7828369140625
2021-01-22,355.5201416015625
2021-01-25,356.92218017578125
2021-01-26,356.3651123046875
2021-01-27,347.6553039550781
2021-01-28,350.645263671875
2021-01-29,343.62548828125
2021-02-01,349.34527587890625
2021-02-02,354.28515625
2021-02-03,354.563720703125
2021-02-04,358.5935363769531
2021-02-05,360.00494384765625
2021-02-08,362.6049499511719
2021-02-09,362.3634338378906
2021-02-10,362.2055969238281
2021-02-11,362.7905578613281
2021-02-12,364.5826721191406
2021-02-16,364.2669372558594
2021-02-17,364.3505554199219
2021-02-18,362.7998352050781
2021-02-19,362.1591491699219
2021-02-22,359.37347412109375
2021-02-23,359.8099365234375
2021-02-24,363.7747802734375
2021-02-25,355.0093688964844
2021-02-26,353.18011474609375
2021-03-01,361.74127197265625
2021-03-02,358.9185485839844
2021-03-03,354.1643981933594
2021-03-04,349.7817077636719
2021-03-05,356.21649169921875
2021-03-08,354.4429626464844
2021-03-09,359.50360107421875
2021-03-10,361.74127197265625
2021-03-11,365.4091491699219
2021-03-12,365.90118408203125
2021-03-15,368.0832824707031
2021-03-16,367.61895751953125
2021-03-17,368.8725280761719
2021-03-18,363.50555419921875
2021-03-19,362.8328857421875
2021-03-22,365.73016357421875
2021-03-23,362.8515625
2021-03-24,361.0069580078125
2021-03-25,363.03790283203125
2021-03-26,368.8882751464844
2021-03-29,368.70196533203125
2021-03-30,367.72381591796875
2021-03-31,369.21429443359375
2021-04-01,373.2014465332031
2021-04-05,378.5580139160156
2021-04-06,378.3344421386719
2021-04-07,378.7723693847656
2021-04-08,380.5703125
2021-04-09,383.3370666503906
2021-04-12,383.4768371582031
2021-04-13,384.61334228515625
2021-04-14,383.2998046875
2021-04-15,387.4173889160156
2021-04-16,388.71234130859375
2021-04-19,386.8025817871094
2021-04-20,383.97052001953125
2021-04-21,387.6037902832031
2021-04-22,384.0636901855469
2021-04-23,388.2278747558594
2021-04-26,389.038330078125
2021-04-27,388.9544677734375
2021-04-28,388.84271240234375
2021-04-29,391.3207702636719
2021-04-30,388.74957275390625
2021-05-03,389.5880432128906
2021-05-04,387.1845397949219
2021-05-05,387.30560302734375
2021-05-06,390.3984680175781
2021-05-07,393.2398376464844
2021-05-10,389.3458251953125
2021-05-11,385.8709716796875
2021-05-12,377.6731262207031
2021-05-13,382.2098083496094
2021-05-14,388.0788879394531
2021-05-17,387.0913391113281
2021-05-18,383.7563171386719
2021-05-19,382.7501525878906
2021-05-20,386.8677673339844
2021-05-21,386.5511169433594
2021-05-24,390.4916076660156
2021-05-25,389.6252746582031
2021-05-26,390.3984680175781
2021-05-27,390.60345458984375
2021-05-28,391.30206298828125
2021-06-01,390.95751953125
2021-06-02,391.57232666015625
2021-06-03,390.1190185546875
2021-06-04,393.6869812011719
2021-06-07,393.30499267578125
2021-06-08,393.3888854980469
2021-06-09,392.8019714355469
2021-06-10,394.62786865234375
2021-06-11,395.2799377441406
2021-06-14,396.1650085449219
2021-06-15,395.4383850097656
2021-06-16,393.23052978515625
2021-06-17,393.1000061035156
2021-06-18,387.7970275878906
2021-06-21,393.34869384765625
2021-06-22,395.4515380859375
2021-06-23,394.9749755859375
2021-06-24,397.3114929199219
2021-06-25,398.7228698730469
2021-06-28,399.52667236328125
2021-06-29,399.7415771484375
2021-06-30,400.0780944824219
2021-07-01,402.2930603027344
2021-07-02,405.3680419921875
2021-07-06,404.6296691894531
2021-07-07,406.0595703125
2021-07-08,402.7510681152344
2021-07-09,407.0503234863281
2021-07-12,408.5083312988281
2021-07-13,407.11578369140625
2021-07-14,407.7232971191406
2021-07-15,406.3307189941406
2021-07-16,403.1436767578125
2021-07-19,397.1900634765625
2021-07-20,402.8819580078125
2021-07-21,406.143798828125
2021-07-22,406.9942321777344
2021-07-23,411.1814270019531
2021-07-26,412.1907958984375
2021-07-27,410.3122863769531
2021-07-28,410.1439514160156
2021-07-29,411.8451232910156
2021-07-30,409.84490966796875
2021-08-02,408.9850769042969
2021-08-03,412.3123474121094
2021-08-04,410.2841796875
2021-08-05,412.88250732421875
2021-08-06,413.5647277832031
2021-08-09,413.22833251953125
2021-08-10,413.7423095703125
2021-08-11,414.7704162597656
2021-08-12,416.01348876953125
2021-08-13,416.7705078125
2021-08-16,417.75189208984375
2021-08-17,415.01348876953125
2021-08-18,410.47113037109375
2021-08-19,411.1066589355469
2021-08-20,414.3778381347656
2021-08-23,418.0229797363281
2021-08-24,418.6864929199219
2021-08-25,419.5650939941406
2021-08-26,417.0882873535156
2021-08-27,420.8174743652344
2021-08-30,422.66802978515625
2021-08-31,422.0418395996094
2021-09-01,422.26617431640625
2021-09-02,423.5653381347656
