Cost_bps,Total_Return,Annual_Return,Sharpe
0,-0.08030623560554906,-0.021169995048822665,-0.1429671707393913
5,-0.09078644640541156,-0.024033133797790374,-0.15554030207180736
10,-0.10115011131702978,-0.02688869449869513,-0.16811005539445423
25,-0.13155440551901798,-0.03541008796644818,-0.20579360784758305
50,-0.18001270388362134,-0.04946252055630196,-0.26848133385810274
